Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
34,Jamal Murray,27,DEN,PG,67,67,2418,0.474,0.518,0.393,0.543,0.886,0.584,0.219,0.354,101,95,109,100,114,101,90,84,0.4,19.4
35,Alperen Şengün,22,HOU,C,76,76,2395,0.496,0.519,0.233,0.505,0.692,0.545,0.374,0.079,106,95,65,93,89,95,154,19,-86.5,-83.2
36,Dillon Brooks,29,HOU,SF,75,75,2388,0.429,0.465,0.397,0.533,0.818,0.555,0.135,0.524,92,85,110,98,105,96,56,124,-18.1,-39.7
37,Rudy Gobert,32,MIN,C,72,72,2388,0.669,0.669,,0.669,0.674,0.687,0.535,0,143,123,,123,86,119,220,0,128.1,139.9
38,Tobias Harris,32,DET,PF,73,73,2305,0.477,0.542,0.345,0.534,0.861,0.571,0.206,0.328,102,99,96,98,110,99,85,78,-15.3,-9.8
39,Darius Garland,25,CLE,PG,75,75,2301,0.472,0.53,0.401,0.562,0.878,0.6,0.217,0.451,101,97,111,104,113,104,89,107,44.9,61.8
40,Jalen Brunson,28,NYK,PG,65,65,2301,0.488,0.539,0.383,0.551,0.821,0.605,0.373,0.331,104,99,106,101,105,105,154,79,18.6,80
41,Jarrett Allen,26,CLE,C,82,82,2296,0.706,0.712,0,0.706,0.718,0.724,0.433,0.008,151,131,0,130,92,126,178,2,208.9,225
42,Chris Paul,39,SAS,PG,82,82,2292,0.427,0.514,0.377,0.547,0.924,0.58,0.158,0.636,91,94,105,101,118,101,65,151,4.8,4.5
43,Anfernee Simons,25,POR,SG,70,70,2292,0.426,0.496,0.363,0.521,0.902,0.557,0.172,0.527,91,91,101,96,116,97,71,125,-48.9,-46.8
44,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,0.601,0.62,0.222,0.607,0.617,0.625,0.536,0.048,129,114,62,112,79,108,221,11,167.4,157.5
45,Malik Beasley,28,DET,SG,82,18,2283,0.43,0.466,0.416,0.579,0.679,0.59,0.131,0.715,92,85,116,107,87,102,54,170,77.7,30.8
46,Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,0.439,0.589,0.342,0.543,0.863,0.574,0.175,0.607,94,108,95,100,111,100,72,144,0.1,-2.1
47,Nikola Vučević,34,CHI,C,73,72,2278,0.53,0.587,0.402,0.592,0.805,0.611,0.144,0.309,113,108,112,109,103,106,59,73,101.6,77.3
48,Payton Pritchard,27,BOS,PG,80,3,2271,0.472,0.642,0.407,0.62,0.845,0.633,0.097,0.723,101,118,113,114,108,110,40,172,132.4,103.4
49,Kevin Durant,36,PHO,PF,62,62,2265,0.527,0.574,0.43,0.598,0.839,0.642,0.321,0.331,113,105,119,110,108,111,132,79,123.2,168.7
50,Shaedon Sharpe,21,POR,SG,72,52,2252,0.452,0.557,0.311,0.519,0.785,0.551,0.219,0.428,97,102,86,95,101,96,90,102,-54.1,-59.9
51,Stephen Curry,36,GSW,PG,70,70,2252,0.448,0.534,0.397,0.572,0.933,0.618,0.238,0.623,96,98,110,105,120,107,98,148,72.6,116.7
52,De'Aaron Fox,27,2TM,PG,62,62,2241,0.463,0.538,0.31,0.514,0.827,0.56,0.273,0.328,99,99,86,95,106,97,113,78,-67.2,-42.5
52,De'Aaron Fox,27,SAC,PG,45,45,1663,0.469,0.539,0.322,0.521,0.829,0.567,0.279,0.324,100,99,89,96,106,98,115,77,-39.1,-18.3
